Unnamed: 0.1,Unnamed: 0,id_empleado,sexo,edad,ciudad,departamento,salario,fecha_ingreso,evaluacion_desempeno,modalidad,estado_civil
0,661,96097,female,41,guayaquil,Ventas,335503.0,09/05/2024,3,presencial,Union Libre
1,478,24153,m,34,Guayaquil,Tecnologia,239325.0,"Apr 09, 2015",3,presencial,Divorciado
2,320,11977,M,38,GYE,Ventas,242375.0,2015-07-15,3,presencial,Casado
3,105,80203,F,27,GYE,Operaciones,105884.0,25/08/2025,5,presencial,Soltero
4,311,54186,M,32,quito,RRHH,197549.0,2020-08-12,3,hibrido,Casado
5,251,85308,female,35,guayaquil,Ventas,518354.0,18/11/2024,2,presencial,Soltero
6,878,83368,M,23,Guayaquil,Operaciones,116581.0,2018-03-02,4,presencial,Soltero
7,451,18076,female,30,UIO,Tecnologia,778472.0,15/07/2015,5,remoto,Divorciado
8,568,85617,M,28,Guayaquil,Tecnologia,491488.0,2020-09-30,4,hibrido,Soltero
9,682,42494,F,44,guayaquil,Tecnologia,411838.0,2024-06-17,3,presencial,Divorciado
10,636,92549,F,39,Guayaquil,Operaciones,169202.0,09/12/2016,5,hibrido,Casado
11,773,17551,m,35,quito,Marketing,309824.0,2018-12-11,4,presencial,Soltero
12,815,59609,female,42,Guayaquil,Tecnologia,644382.0,2015-01-14,4,remoto,Casado
13,26,98625,M,25,Guayaquil,Tecnologia,278448.0,2021-07-30,3,hibrido,Soltero
14,433,38348,female,22,UIO,Tecnologia,216034.0,18/07/2022,3,presencial,Soltero
15,64,51282,m,30,Guayaquil,Ventas,13841.0,01/12/2017,4,presencial,Union Libre
16,160,39926,m,27,quito,Finanzas,365513.0,04/08/2022,1,presencial,Soltero
17,307,83713,F,31,Guayaquil,Marketing,295228.0,23/11/2024,3,hibrido,Casado
18,426,61241,female,26,quito,Operaciones,79304.0,18/01/2024,2,hibrido,Casado
19,263,37704,M,35,quito,Operaciones,387403.0,17/12/2019,4,presencial,Casado
20,697,63428,female,38,guayaquil,Marketing,138505.0,2025-12-10,3,presencial,Soltero
21,666,86479,female,38,guayaquil,Operaciones,99318.0,2023-11-01,2,hibrido,Casado
22,6,39824,m,40,GYE,Tecnologia,312145.0,2022-09-07,4,remoto,Casado
23,922,27224,female,35,guayaquil,Ventas,25770.0,"Dec 19, 2019",3,presencial,Union Libre
24,390,42702,female,29,quito,Finanzas,268912.0,09/03/2023,1,presencial,Casado
25,757,26025,F,44,quito,Operaciones,211524.0,2016-09-02,1,presencial,Soltero
26,237,60404,m,26,quito,Marketing,349867.0,2016-07-24,4,presencial,Soltero
27,411,50918,F,45,UIO,Tecnologia,507164.0,25/01/2015,1,hibrido,Casado
28,656,58026,M,33,quito,Tecnologia,312576.0,08/07/2015,3,remoto,Casado
29,911,20622,F,29,Guayaquil,RRHH,23317.0,"Mar 18, 2024",4,presencial,Soltero
30,798,49200,m,30,UIO,Finanzas,355755.0,2022-04-17,4,hibrido,Soltero
31,367,79819,female,34,GYE,Ventas,155821.0,02/01/2018,3,presencial,Casado
32,726,77640,M,39,Guayaquil,Tecnologia,42270.0,14/09/2016,4,hibrido,Soltero
33,364,24720,female,31,GYE,Ventas,198304.0,"Jul 08, 2019",3,presencial,Soltero
34,737,99430,F,26,quito,Tecnologia,287146.0,28/05/2021,3,remoto,Soltero
35,138,43804,M,26,Guayaquil,Ventas,155334.0,2017-09-25,2,presencial,Union Libre
36,590,33730,M,38,guayaquil,Operaciones,134501.0,2015-05-23,4,presencial,Soltero
37,497,95118,female,44,Guayaquil,Ventas,259246.0,2017-09-12,3,presencial,Divorciado
38,836,23057,female,36,guayaquil,Finanzas,47074.0,"May 26, 2018",5,presencial,Casado
39,843,18129,female,35,Guayaquil,Operaciones,299355.0,02/10/2023,4,presencial,Soltero
40,644,32739,female,26,guayaquil,Tecnologia,123504.0,01/11/2024,3,remoto,Soltero
41,807,61897,female,32,Guayaquil,Operaciones,262322.0,2018-11-06,4,remoto,Casado
42,935,26264,M,46,guayaquil,Tecnologia,442869.0,15/04/2021,5,remoto,Soltero
43,580,58061,M,34,UIO,Tecnologia,189212.0,2019-03-06,4,presencial,Union Libre
44,439,54566,F,25,quito,Marketing,106984.0,2022-02-05,3,presencial,Union Libre
45,54,38078,m,31,UIO,Operaciones,177984.0,2015-12-15,2,presencial,Casado
46,384,77406,female,42,Guayaquil,Tecnologia,443093.0,10/09/2016,3,remoto,Union Libre
47,817,46254,m,47,UIO,Tecnologia,357179.0,"Apr 05, 2015",4,remoto,Union Libre
48,447,70522,F,42,guayaquil,Tecnologia,237701.0,2024-06-06,3,hibrido,Casado
49,894,95945,female,28,Guayaquil,Marketing,194662.0,2018-06-08,5,remoto,Soltero
50,230,66777,m,27,Guayaquil,Tecnologia,146599.0,2022-01-16,4,hibrido,Union Libre
51,805,18532,M,54,Guayaquil,Tecnologia,581525.0,16/01/2016,3,remoto,Soltero
52,727,17653,F,36,quito,Operaciones,133213.0,30/06/2021,4,presencial,Casado
53,348,81957,m,40,guayaquil,Ventas,276188.0,2025-10-02,2,presencial,Casado
54,681,62009,F,34,Guayaquil,Tecnologia,29471.0,2015-10-29,4,remoto,Casado
55,885,66747,m,51,quito,Operaciones,354206.0,18/11/2021,4,presencial,Soltero
56,586,51210,F,41,GYE,Ventas,147566.0,20/08/2017,4,presencial,Casado
57,771,31793,F,37,guayaquil,Operaciones,141476.0,16/10/2019,4,remoto,Casado
58,925,78444,M,30,Guayaquil,Tecnologia,164541.0,2017-09-09,1,remoto,Soltero
59,892,10582,female,37,GYE,Ventas,10636.0,2021-05-17,3,hibrido,Casado
60,252,73990,female,29,GYE,Operaciones,150316.0,08/04/2023,3,presencial,Soltero
61,176,82054,F,47,guayaquil,RRHH,398932.0,02/07/2024,4,hibrido,Soltero
62,738,43388,m,24,quito,Ventas,142481.0,2015-01-03,2,presencial,Soltero
63,814,19937,m,37,guayaquil,Tecnologia,238372.0,2021-08-31,3,hibrido,Casado
64,537,35424,female,36,guayaquil,Marketing,138296.0,2025-10-31,1,presencial,Casado
65,609,36327,F,32,Guayaquil,Finanzas,529843.0,2016-12-20,3,presencial,Soltero
66,673,10656,m,26,Guayaquil,Tecnologia,203137.0,2015-04-11,5,hibrido,Soltero
67,877,93598,F,28,GYE,Operaciones,7000.0,2016-06-19,4,presencial,Soltero
68,470,37843,M,37,GYE,Marketing,161543.0,18/01/2026,3,presencial,Soltero
69,94,34351,M,36,Guayaquil,Marketing,90295.0,"Aug 25, 2021",5,presencial,Soltero
70,274,52718,F,34,guayaquil,Operaciones,255292.0,2022-03-04,3,hibrido,Soltero
71,416,76932,M,40,UIO,Tecnologia,272012.0,2016-05-31,4,remoto,Casado
72,615,86269,M,27,quito,Tecnologia,603473.0,2017-03-08,4,remoto,Casado
73,362,98166,m,39,Guayaquil,Operaciones,198671.0,"Jun 30, 2019",3,presencial,Soltero
74,616,48912,m,41,Guayaquil,Ventas,186021.0,29/08/2024,4,presencial,Casado
75,496,75591,F,26,Guayaquil,Tecnologia,220043.0,2023-10-26,4,remoto,Soltero
76,14,18207,m,30,UIO,RRHH,186283.0,11/06/2021,3,hibrido,Casado
77,680,75872,F,24,quito,Tecnologia,185992.0,2020-03-28,4,remoto,Soltero
78,410,91091,M,32,Guayaquil,Operaciones,12028.0,17/11/2025,4,presencial,Union Libre
79,145,37001,m,21,Guayaquil,Finanzas,207597.0,2022-05-17,1,presencial,Soltero
80,292,25574,m,38,quito,Ventas,257842.0,2016-02-15,4,hibrido,Casado
81,594,29139,m,35,Guayaquil,Operaciones,198141.0,17/02/2017,5,presencial,Casado
82,163,11606,female,21,Guayaquil,Ventas,311814.0,12/10/2021,4,presencial,Soltero
83,629,22568,female,45,guayaquil,Finanzas,34155.0,"Jul 05, 2022",3,presencial,Soltero
84,642,68992,m,33,quito,Tecnologia,294569.0,2019-06-12,4,remoto,Casado
85,902,47516,F,21,Guayaquil,Tecnologia,609742.0,10/01/2022,3,remoto,Soltero
86,290,77538,m,33,Guayaquil,Operaciones,100403.0,2024-12-14,4,presencial,Soltero
87,199,89005,M,46,UIO,Tecnologia,193524.0,"Jan 09, 2024",4,remoto,Casado
88,627,69407,female,43,Guayaquil,Operaciones,192573.0,28/10/2019,5,presencial,Divorciado
89,622,52671,female,37,quito,Tecnologia,23157.0,2019-11-26,3,hibrido,Union Libre
90,873,35954,F,38,Guayaquil,Finanzas,278968.0,28/09/2017,2,hibrido,Soltero
91,250,23271,female,45,guayaquil,Operaciones,107667.0,25/07/2025,4,presencial,Casado
92,546,12036,female,34,guayaquil,Ventas,165317.0,"Feb 28, 2019",3,presencial,Soltero
93,837,39370,female,29,Guayaquil,Tecnologia,144329.0,2019-05-18,3,remoto,Soltero
94,928,97084,F,39,GYE,Tecnologia,363108.0,2020-01-05,5,remoto,Soltero
95,10,97650,m,34,UIO,Marketing,223542.0,08/01/2022,4,hibrido,Casado
96,216,59542,F,21,guayaquil,Tecnologia,359357.0,2025-07-01,4,remoto,Union Libre
97,863,76783,female,41,Guayaquil,Tecnologia,499729.0,2020-02-24,3,remoto,Casado
98,234,51724,F,35,Guayaquil,Tecnologia,12697.0,2015-07-30,3,remoto,Divorciado
99,741,83908,m,35,Guayaquil,Tecnologia,455669.0,05/09/2018,3,remoto,Soltero
100,528,72850,m,45,quito,Tecnologia,604321.0,2015-06-03,2,hibrido,Divorciado
101,249,60707,F,35,Guayaquil,RRHH,117674.0,08/05/2019,3,hibrido,Soltero
102,830,74451,female,38,Guayaquil,Tecnologia,87655.0,2024-11-25,3,hibrido,Casado
103,419,68555,M,32,Guayaquil,Operaciones,258465.0,16/07/2021,3,hibrido,Soltero
104,765,55208,M,34,Guayaquil,Finanzas,232005.0,24/06/2025,3,presencial,Casado
105,255,99788,F,33,Guayaquil,Operaciones,91969.0,2016-08-26,2,presencial,Casado
106,272,53836,F,54,Guayaquil,Tecnologia,172804.0,31/07/2018,5,remoto,Casado
107,48,72134,m,45,Guayaquil,Operaciones,193374.0,2021-12-24,4,presencial,Casado
108,358,86366,female,49,guayaquil,Tecnologia,97497.0,27/07/2021,3,hibrido,Casado
109,378,85348,M,29,Guayaquil,Marketing,134682.0,2024-07-13,3,presencial,Union Libre
110,194,19567,M,26,GYE,Tecnologia,190762.0,27/06/2020,4,remoto,Union Libre
111,583,91751,M,32,guayaquil,Tecnologia,87121.0,2022-07-09,2,hibrido,Union Libre
112,835,74471,m,51,Guayaquil,Ventas,13572.0,2020-02-06,3,remoto,Soltero
113,241,63355,female,40,GYE,Tecnologia,631988.0,27/07/2016,3,presencial,Casado
114,180,80893,m,44,Guayaquil,Tecnologia,85806.0,2020-11-15,3,remoto,Soltero
115,693,70971,m,46,GYE,Finanzas,43992.0,2020-10-08,3,presencial,Union Libre
116,4,59304,F,44,Guayaquil,Tecnologia,171889.0,12/05/2017,4,hibrido,Divorciado
117,872,33851,female,33,quito,Ventas,137491.0,"Apr 12, 2017",5,presencial,Union Libre
118,112,18251,F,44,guayaquil,Operaciones,225049.0,23/02/2016,3,hibrido,Union Libre
119,401,51454,M,30,Guayaquil,Tecnologia,267905.0,06/10/2015,3,hibrido,Union Libre
120,492,48950,m,32,UIO,Tecnologia,264073.0,"Feb 27, 2022",1,remoto,Union Libre
121,886,66972,m,28,Guayaquil,Tecnologia,113059.0,2025-01-17,3,hibrido,Union Libre
122,521,76813,M,41,UIO,Tecnologia,210185.0,"Jul 24, 2024",4,remoto,Union Libre
123,111,66247,M,25,guayaquil,Operaciones,291402.0,30/04/2015,4,presencial,Soltero
124,793,57789,F,36,quito,Operaciones,210163.0,2018-10-27,2,presencial,Union Libre
125,406,74783,m,26,GYE,Operaciones,118063.0,2015-09-21,5,presencial,Soltero
126,428,63824,m,53,GYE,Ventas,304403.0,2019-07-01,2,presencial,Union Libre
127,109,49215,F,42,Guayaquil,Marketing,105197.0,2016-11-01,3,presencial,Casado
128,192,20370,female,35,guayaquil,Tecnologia,80000.0,"Feb 02, 2022",4,remoto,Union Libre
129,557,81041,m,37,UIO,Finanzas,293095.0,28/07/2019,4,presencial,Casado
130,8,28698,F,40,UIO,Operaciones,153752.0,2022-01-30,2,presencial,Casado
131,266,39452,F,33,GYE,Ventas,208768.0,2023-10-11,5,presencial,Soltero
132,647,72116,F,37,UIO,RRHH,243897.0,2025-06-02,3,presencial,Soltero
133,35,55051,m,35,Guayaquil,Finanzas,327424.0,2020-11-08,3,presencial,Casado
